time_day,Building,day_week,num_students
15.4,(None),H,4
15.5,(None),H,4
16.0,(None),H,4
16.1,(None),H,0
16.2,(None),H,0
16.3,(None),H,0
16.4,(None),H,0
16.5,(None),H,0
17.0,(None),H,0
17.1,(None),H,0
17.2,(None),H,0
17.3,(None),H,0
17.4,(None),H,0
17.5,(None),H,0
18.0,(None),H,0
18.1,(None),H,0
18.2,(None),H,0
18.3,(None),H,0
18.4,(None),H,0
18.5,(None),H,0
19.0,(None),H,0
19.1,(None),H,0
19.2,(None),H,0
19.3,(None),H,0
19.4,(None),H,0
19.5,(None),H,0
20.0,(None),H,0
7.0,(None),F,0
7.1,(None),F,0
7.2,(None),F,0
7.3,(None),F,0
7.4,(None),F,0
7.5,(None),F,0
8.0,(None),F,0
8.1,(None),F,0
8.2,(None),F,0
8.3,(None),F,1
8.4,(None),F,1
8.5,(None),F,1
9.0,(None),F,1
9.1,(None),F,1
9.2,(None),F,1
9.3,(None),F,1
9.4,(None),F,1
9.5,(None),F,1
10.0,(None),F,1
10.1,(None),F,1
10.2,(None),F,1
10.3,(None),F,1
10.4,(None),F,1
10.5,(None),F,1
11.0,(None),F,1
11.1,(None),F,1
11.2,(None),F,1
11.3,(None),F,1
11.4,(None),F,1
11.5,(None),F,1
12.0,(None),F,1
12.1,(None),F,1
12.2,(None),F,1
12.3,(None),F,1
12.4,(None),F,1
12.5,(None),F,1
13.0,(None),F,2
13.1,(None),F,2
13.2,(None),F,2
13.3,(None),F,2
13.4,(None),F,2
13.5,(None),F,2
14.0,(None),F,2
14.1,(None),F,2
14.2,(None),F,2
14.3,(None),F,2
14.4,(None),F,1
14.5,(None),F,1
15.0,(None),F,0
15.1,(None),F,0
15.2,(None),F,0
15.3,(None),F,0
15.4,(None),F,0
15.5,(None),F,0
16.0,(None),F,0
16.1,(None),F,0
16.2,(None),F,0
16.3,(None),F,0
16.4,(None),F,0
16.5,(None),F,0
17.0,(None),F,0
17.1,(None),F,0
17.2,(None),F,0
17.3,(None),F,0
17.4,(None),F,0
17.5,(None),F,0
18.0,(None),F,0
18.1,(None),F,0
18.2,(None),F,0
18.3,(None),F,0
18.4,(None),F,0
18.5,(None),F,0
19.0,(None),F,0
19.1,(None),F,0
19.2,(None),F,0
19.3,(None),F,0
19.4,(None),F,0
19.5,(None),F,0
20.0,(None),F,0
7.0,4444 Forst Pk,M,0
7.1,4444 Forst Pk,M,0
7.2,4444 Forst Pk,M,0
7.3,4444 Forst Pk,M,0
7.4,4444 Forst Pk,M,0
7.5,4444 Forst Pk,M,0
8.0,4444 Forst Pk,M,0
8.1,4444 Forst Pk,M,0
8.2,4444 Forst Pk,M,0
8.3,4444 Forst Pk,M,0
8.4,4444 Forst Pk,M,0
8.5,4444 Forst Pk,M,0
9.0,4444 Forst Pk,M,0
9.1,4444 Forst Pk,M,0
9.2,4444 Forst Pk,M,0
9.3,4444 Forst Pk,M,0
9.4,4444 Forst Pk,M,0
9.5,4444 Forst Pk,M,0
10.0,4444 Forst Pk,M,0
10.1,4444 Forst Pk,M,0
10.2,4444 Forst Pk,M,0
10.3,4444 Forst Pk,M,0
10.4,4444 Forst Pk,M,0
10.5,4444 Forst Pk,M,0
11.0,4444 Forst Pk,M,0
11.1,4444 Forst Pk,M,0
11.2,4444 Forst Pk,M,0
11.3,4444 Forst Pk,M,0
11.4,4444 Forst Pk,M,0
11.5,4444 Forst Pk,M,0
12.0,4444 Forst Pk,M,0
12.1,4444 Forst Pk,M,0
12.2,4444 Forst Pk,M,0
12.3,4444 Forst Pk,M,0
12.4,4444 Forst Pk,M,0
12.5,4444 Forst Pk,M,0
13.0,4444 Forst Pk,M,0
13.1,4444 Forst Pk,M,0
13.2,4444 Forst Pk,M,0
13.3,4444 Forst Pk,M,0
13.4,4444 Forst Pk,M,0
13.5,4444 Forst Pk,M,0
14.0,4444 Forst Pk,M,0
14.1,4444 Forst Pk,M,0
14.2,4444 Forst Pk,M,0
14.3,4444 Forst Pk,M,0
14.4,4444 Forst Pk,M,0
14.5,4444 Forst Pk,M,0
15.0,4444 Forst Pk,M,0
15.1,4444 Forst Pk,M,0
15.2,4444 Forst Pk,M,0
15.3,4444 Forst Pk,M,0
15.4,4444 Forst Pk,M,0
15.5,4444 Forst Pk,M,0
16.0,4444 Forst Pk,M,0
16.1,4444 Forst Pk,M,0
16.2,4444 Forst Pk,M,0
16.3,4444 Forst Pk,M,0
16.4,4444 Forst Pk,M,0
16.5,4444 Forst Pk,M,0
17.0,4444 Forst Pk,M,0
17.1,4444 Forst Pk,M,0
17.2,4444 Forst Pk,M,0
17.3,4444 Forst Pk,M,0
17.4,4444 Forst Pk,M,0
17.5,4444 Forst Pk,M,0
18.0,4444 Forst Pk,M,0
18.1,4444 Forst Pk,M,0
18.2,4444 Forst Pk,M,0
18.3,4444 Forst Pk,M,0
18.4,4444 Forst Pk,M,0
18.5,4444 Forst Pk,M,0
19.0,4444 Forst Pk,M,0
19.1,4444 Forst Pk,M,0
19.2,4444 Forst Pk,M,0
19.3,4444 Forst Pk,M,0
19.4,4444 Forst Pk,M,0
19.5,4444 Forst Pk,M,0
20.0,4444 Forst Pk,M,0
7.0,4444 Forst Pk,T,0
7.1,4444 Forst Pk,T,0
7.2,4444 Forst Pk,T,0
7.3,4444 Forst Pk,T,0
7.4,4444 Forst Pk,T,0
7.5,4444 Forst Pk,T,0
8.0,4444 Forst Pk,T,0
8.1,4444 Forst Pk,T,0
8.2,4444 Forst Pk,T,0
8.3,4444 Forst Pk,T,0
8.4,4444 Forst Pk,T,0
8.5,4444 Forst Pk,T,0
9.0,4444 Forst Pk,T,0
9.1,4444 Forst Pk,T,0
9.2,4444 Forst Pk,T,0
9.3,4444 Forst Pk,T,0
9.4,4444 Forst Pk,T,0
9.5,4444 Forst Pk,T,0
10.0,4444 Forst Pk,T,0
10.1,4444 Forst Pk,T,0
10.2,4444 Forst Pk,T,0
10.3,4444 Forst Pk,T,0
10.4,4444 Forst Pk,T,0
10.5,4444 Forst Pk,T,0
11.0,4444 Forst Pk,T,0
11.1,4444 Forst Pk,T,0
11.2,4444 Forst Pk,T,0
11.3,4444 Forst Pk,T,0
11.4,4444 Forst Pk,T,0
11.5,4444 Forst Pk,T,0
12.0,4444 Forst Pk,T,0
12.1,4444 Forst Pk,T,0
12.2,4444 Forst Pk,T,0
12.3,4444 Forst Pk,T,0
12.4,4444 Forst Pk,T,0
12.5,4444 Forst Pk,T,0
13.0,4444 Forst Pk,T,0
13.1,4444 Forst Pk,T,0
13.2,4444 Forst Pk,T,0
13.3,4444 Forst Pk,T,0
13.4,4444 Forst Pk,T,0
13.5,4444 Forst Pk,T,0
14.0,4444 Forst Pk,T,0
14.1,4444 Forst Pk,T,0
14.2,4444 Forst Pk,T,0
14.3,4444 Forst Pk,T,0
14.4,4444 Forst Pk,T,0
14.5,4444 Forst Pk,T,0
15.0,4444 Forst Pk,T,0
15.1,4444 Forst Pk,T,0
15.2,4444 Forst Pk,T,0
15.3,4444 Forst Pk,T,0
15.4,4444 Forst Pk,T,0
15.5,4444 Forst Pk,T,0
16.0,4444 Forst Pk,T,0
16.1,4444 Forst Pk,T,0
16.2,4444 Forst Pk,T,0
16.3,4444 Forst Pk,T,0
16.4,4444 Forst Pk,T,0
16.5,4444 Forst Pk,T,0
17.0,4444 Forst Pk,T,0
17.1,4444 Forst Pk,T,0
17.2,4444 Forst Pk,T,0
17.3,4444 Forst Pk,T,0
17.4,4444 Forst Pk,T,0
17.5,4444 Forst Pk,T,0
18.0,4444 Forst Pk,T,0
18.1,4444 Forst Pk,T,0
18.2,4444 Forst Pk,T,0
18.3,4444 Forst Pk,T,0
18.4,4444 Forst Pk,T,0
18.5,4444 Forst Pk,T,0
19.0,4444 Forst Pk,T,0
19.1,4444 Forst Pk,T,0
19.2,4444 Forst Pk,T,0
19.3,4444 Forst Pk,T,0
19.4,4444 Forst Pk,T,0
19.5,4444 Forst Pk,T,0
20.0,4444 Forst Pk,T,0
7.0,4444 Forst Pk,W,0
7.1,4444 Forst Pk,W,0
7.2,4444 Forst Pk,W,0
7.3,4444 Forst Pk,W,0
7.4,4444 Forst Pk,W,0
7.5,4444 Forst Pk,W,0
8.0,4444 Forst Pk,W,0
8.1,4444 Forst Pk,W,0
8.2,4444 Forst Pk,W,0
8.3,4444 Forst Pk,W,0
8.4,4444 Forst Pk,W,0
8.5,4444 Forst Pk,W,0
9.0,4444 Forst Pk,W,0
9.1,4444 Forst Pk,W,0
9.2,4444 Forst Pk,W,0
9.3,4444 Forst Pk,W,0
9.4,4444 Forst Pk,W,0
9.5,4444 Forst Pk,W,0
10.0,4444 Forst Pk,W,0
10.1,4444 Forst Pk,W,0
10.2,4444 Forst Pk,W,0
10.3,4444 Forst Pk,W,0
10.4,4444 Forst Pk,W,0
10.5,4444 Forst Pk,W,0
11.0,4444 Forst Pk,W,0
11.1,4444 Forst Pk,W,0
11.2,4444 Forst Pk,W,0
11.3,4444 Forst Pk,W,0
11.4,4444 Forst Pk,W,0
11.5,4444 Forst Pk,W,0
12.0,4444 Forst Pk,W,1
12.1,4444 Forst Pk,W,1
12.2,4444 Forst Pk,W,1
12.3,4444 Forst Pk,W,1
12.4,4444 Forst Pk,W,1
12.5,4444 Forst Pk,W,1
13.0,4444 Forst Pk,W,0
13.1,4444 Forst Pk,W,0
13.2,4444 Forst Pk,W,0
13.3,4444 Forst Pk,W,0
13.4,4444 Forst Pk,W,0
13.5,4444 Forst Pk,W,0
14.0,4444 Forst Pk,W,0
14.1,4444 Forst Pk,W,0
14.2,4444 Forst Pk,W,0
14.3,4444 Forst Pk,W,0
14.4,4444 Forst Pk,W,0
14.5,4444 Forst Pk,W,0
15.0,4444 Forst Pk,W,0
15.1,4444 Forst Pk,W,0
15.2,4444 Forst Pk,W,0
15.3,4444 Forst Pk,W,0
15.4,4444 Forst Pk,W,0
15.5,4444 Forst Pk,W,0
16.0,4444 Forst Pk,W,0
16.1,4444 Forst Pk,W,0
16.2,4444 Forst Pk,W,0
16.3,4444 Forst Pk,W,0
16.4,4444 Forst Pk,W,0
16.5,4444 Forst Pk,W,0
17.0,4444 Forst Pk,W,0
17.1,4444 Forst Pk,W,0
17.2,4444 Forst Pk,W,0
17.3,4444 Forst Pk,W,0
17.4,4444 Forst Pk,W,0
17.5,4444 Forst Pk,W,0
18.0,4444 Forst Pk,W,0
18.1,4444 Forst Pk,W,0
18.2,4444 Forst Pk,W,0
18.3,4444 Forst Pk,W,0
18.4,4444 Forst Pk,W,0
18.5,4444 Forst Pk,W,0
19.0,4444 Forst Pk,W,0
19.1,4444 Forst Pk,W,0
19.2,4444 Forst Pk,W,0
19.3,4444 Forst Pk,W,0
19.4,4444 Forst Pk,W,0
19.5,4444 Forst Pk,W,0
20.0,4444 Forst Pk,W,0
7.0,4444 Forst Pk,H,0
7.1,4444 Forst Pk,H,0
7.2,4444 Forst Pk,H,0
7.3,4444 Forst Pk,H,0
7.4,4444 Forst Pk,H,0
7.5,4444 Forst Pk,H,0
8.0,4444 Forst Pk,H,0
8.1,4444 Forst Pk,H,0
8.2,4444 Forst Pk,H,0
8.3,4444 Forst Pk,H,0
8.4,4444 Forst Pk,H,0
8.5,4444 Forst Pk,H,0
9.0,4444 Forst Pk,H,0
9.1,4444 Forst Pk,H,0
9.2,4444 Forst Pk,H,0
9.3,4444 Forst Pk,H,0
9.4,4444 Forst Pk,H,0
9.5,4444 Forst Pk,H,0
10.0,4444 Forst Pk,H,0
10.1,4444 Forst Pk,H,0
10.2,4444 Forst Pk,H,0
10.3,4444 Forst Pk,H,0
10.4,4444 Forst Pk,H,0
10.5,4444 Forst Pk,H,0
11.0,4444 Forst Pk,H,0
11.1,4444 Forst Pk,H,0
11.2,4444 Forst Pk,H,0
11.3,4444 Forst Pk,H,0
11.4,4444 Forst Pk,H,0
11.5,4444 Forst Pk,H,0
12.0,4444 Forst Pk,H,0
12.1,4444 Forst Pk,H,0
12.2,4444 Forst Pk,H,0
12.3,4444 Forst Pk,H,0
12.4,4444 Forst Pk,H,0
12.5,4444 Forst Pk,H,0
13.0,4444 Forst Pk,H,0
13.1,4444 Forst Pk,H,0
13.2,4444 Forst Pk,H,0
13.3,4444 Forst Pk,H,0
13.4,4444 Forst Pk,H,0
13.5,4444 Forst Pk,H,0
14.0,4444 Forst Pk,H,0
14.1,4444 Forst Pk,H,0
14.2,4444 Forst Pk,H,0
14.3,4444 Forst Pk,H,0
14.4,4444 Forst Pk,H,0
14.5,4444 Forst Pk,H,0
15.0,4444 Forst Pk,H,0
15.1,4444 Forst Pk,H,0
15.2,4444 Forst Pk,H,0
15.3,4444 Forst Pk,H,0
15.4,4444 Forst Pk,H,0
15.5,4444 Forst Pk,H,0
16.0,4444 Forst Pk,H,0
16.1,4444 Forst Pk,H,0
16.2,4444 Forst Pk,H,0
16.3,4444 Forst Pk,H,0
16.4,4444 Forst Pk,H,0
16.5,4444 Forst Pk,H,0
17.0,4444 Forst Pk,H,0
17.1,4444 Forst Pk,H,0
17.2,4444 Forst Pk,H,0
17.3,4444 Forst Pk,H,0
17.4,4444 Forst Pk,H,0
17.5,4444 Forst Pk,H,0
18.0,4444 Forst Pk,H,0
18.1,4444 Forst Pk,H,0
18.2,4444 Forst Pk,H,0
18.3,4444 Forst Pk,H,0
18.4,4444 Forst Pk,H,0
18.5,4444 Forst Pk,H,0
19.0,4444 Forst Pk,H,0
19.1,4444 Forst Pk,H,0
19.2,4444 Forst Pk,H,0
19.3,4444 Forst Pk,H,0
19.4,4444 Forst Pk,H,0
19.5,4444 Forst Pk,H,0
20.0,4444 Forst Pk,H,0
7.0,4444 Forst Pk,F,0
7.1,4444 Forst Pk,F,0
7.2,4444 Forst Pk,F,0
7.3,4444 Forst Pk,F,0
7.4,4444 Forst Pk,F,0
7.5,4444 Forst Pk,F,0
8.0,4444 Forst Pk,F,0
8.1,4444 Forst Pk,F,0
8.2,4444 Forst Pk,F,0
8.3,4444 Forst Pk,F,0
8.4,4444 Forst Pk,F,0
8.5,4444 Forst Pk,F,0
9.0,4444 Forst Pk,F,0
9.1,4444 Forst Pk,F,0
9.2,4444 Forst Pk,F,0
9.3,4444 Forst Pk,F,0
9.4,4444 Forst Pk,F,0
9.5,4444 Forst Pk,F,0
10.0,4444 Forst Pk,F,0
10.1,4444 Forst Pk,F,0
10.2,4444 Forst Pk,F,0
10.3,4444 Forst Pk,F,0
10.4,4444 Forst Pk,F,0
10.5,4444 Forst Pk,F,0
11.0,4444 Forst Pk,F,0
11.1,4444 Forst Pk,F,0
11.2,4444 Forst Pk,F,0
11.3,4444 Forst Pk,F,0
11.4,4444 Forst Pk,F,0
11.5,4444 Forst Pk,F,0
12.0,4444 Forst Pk,F,0
12.1,4444 Forst Pk,F,0
12.2,4444 Forst Pk,F,0
12.3,4444 Forst Pk,F,0
12.4,4444 Forst Pk,F,0
12.5,4444 Forst Pk,F,0
13.0,4444 Forst Pk,F,0
13.1,4444 Forst Pk,F,0
13.2,4444 Forst Pk,F,0
13.3,4444 Forst Pk,F,0
13.4,4444 Forst Pk,F,0
13.5,4444 Forst Pk,F,0
14.0,4444 Forst Pk,F,0
14.1,4444 Forst Pk,F,0
14.2,4444 Forst Pk,F,0
14.3,4444 Forst Pk,F,0
14.4,4444 Forst Pk,F,0
14.5,4444 Forst Pk,F,0
15.0,4444 Forst Pk,F,0
15.1,4444 Forst Pk,F,0
15.2,4444 Forst Pk,F,0
15.3,4444 Forst Pk,F,0
15.4,4444 Forst Pk,F,0
15.5,4444 Forst Pk,F,0
16.0,4444 Forst Pk,F,0
16.1,4444 Forst Pk,F,0
16.2,4444 Forst Pk,F,0
16.3,4444 Forst Pk,F,0
16.4,4444 Forst Pk,F,0
16.5,4444 Forst Pk,F,0
17.0,4444 Forst Pk,F,0
17.1,4444 Forst Pk,F,0
17.2,4444 Forst Pk,F,0
17.3,4444 Forst Pk,F,0
17.4,4444 Forst Pk,F,0
17.5,4444 Forst Pk,F,0
18.0,4444 Forst Pk,F,0
18.1,4444 Forst Pk,F,0
18.2,4444 Forst Pk,F,0
18.3,4444 Forst Pk,F,0
18.4,4444 Forst Pk,F,0
18.5,4444 Forst Pk,F,0
19.0,4444 Forst Pk,F,0
19.1,4444 Forst Pk,F,0
19.2,4444 Forst Pk,F,0
19.3,4444 Forst Pk,F,0
19.4,4444 Forst Pk,F,0
19.5,4444 Forst Pk,F,0
20.0,4444 Forst Pk,F,0
7.0,560 Music Cntr,M,0
7.1,560 Music Cntr,M,0
7.2,560 Music Cntr,M,0
7.3,560 Music Cntr,M,0
7.4,560 Music Cntr,M,0
7.5,560 Music Cntr,M,0
8.0,560 Music Cntr,M,0
8.1,560 Music Cntr,M,0
8.2,560 Music Cntr,M,0
8.3,560 Music Cntr,M,0
8.4,560 Music Cntr,M,0
8.5,560 Music Cntr,M,0
9.0,560 Music Cntr,M,0
9.1,560 Music Cntr,M,0
9.2,560 Music Cntr,M,0
9.3,560 Music Cntr,M,0
9.4,560 Music Cntr,M,0
9.5,560 Music Cntr,M,0
10.0,560 Music Cntr,M,0
10.1,560 Music Cntr,M,0
10.2,560 Music Cntr,M,0
10.3,560 Music Cntr,M,0
10.4,560 Music Cntr,M,0
10.5,560 Music Cntr,M,0
11.0,560 Music Cntr,M,0
11.1,560 Music Cntr,M,0
11.2,560 Music Cntr,M,0
11.3,560 Music Cntr,M,0
11.4,560 Music Cntr,M,0
11.5,560 Music Cntr,M,0
12.0,560 Music Cntr,M,0
12.1,560 Music Cntr,M,0
12.2,560 Music Cntr,M,0
12.3,560 Music Cntr,M,0
12.4,560 Music Cntr,M,0
12.5,560 Music Cntr,M,0
13.0,560 Music Cntr,M,0
13.1,560 Music Cntr,M,0
13.2,560 Music Cntr,M,0
13.3,560 Music Cntr,M,0
13.4,560 Music Cntr,M,0
13.5,560 Music Cntr,M,0
14.0,560 Music Cntr,M,0
14.1,560 Music Cntr,M,0
14.2,560 Music Cntr,M,0
14.3,560 Music Cntr,M,0
14.4,560 Music Cntr,M,0
14.5,560 Music Cntr,M,0
15.0,560 Music Cntr,M,0
15.1,560 Music Cntr,M,0
15.2,560 Music Cntr,M,0
15.3,560 Music Cntr,M,0
15.4,560 Music Cntr,M,0
15.5,560 Music Cntr,M,0
16.0,560 Music Cntr,M,0
16.1,560 Music Cntr,M,0
16.2,560 Music Cntr,M,0
16.3,560 Music Cntr,M,35
16.4,560 Music Cntr,M,35
16.5,560 Music Cntr,M,35
17.0,560 Music Cntr,M,35
17.1,560 Music Cntr,M,35
17.2,560 Music Cntr,M,35
17.3,560 Music Cntr,M,35
17.4,560 Music Cntr,M,35
17.5,560 Music Cntr,M,35
18.0,560 Music Cntr,M,35
18.1,560 Music Cntr,M,35
18.2,560 Music Cntr,M,35
18.3,560 Music Cntr,M,35
18.4,560 Music Cntr,M,0
18.5,560 Music Cntr,M,0
19.0,560 Music Cntr,M,0
19.1,560 Music Cntr,M,0
19.2,560 Music Cntr,M,0
19.3,560 Music Cntr,M,0
19.4,560 Music Cntr,M,0
19.5,560 Music Cntr,M,0
20.0,560 Music Cntr,M,0
7.0,560 Music Cntr,T,0
7.1,560 Music Cntr,T,0
7.2,560 Music Cntr,T,0
7.3,560 Music Cntr,T,0
7.4,560 Music Cntr,T,0
7.5,560 Music Cntr,T,0
8.0,560 Music Cntr,T,0
8.1,560 Music Cntr,T,0
8.2,560 Music Cntr,T,0
8.3,560 Music Cntr,T,0
8.4,560 Music Cntr,T,0
8.5,560 Music Cntr,T,0
9.0,560 Music Cntr,T,0
9.1,560 Music Cntr,T,0
9.2,560 Music Cntr,T,0
9.3,560 Music Cntr,T,0
9.4,560 Music Cntr,T,0
9.5,560 Music Cntr,T,0
10.0,560 Music Cntr,T,0
10.1,560 Music Cntr,T,0
10.2,560 Music Cntr,T,0
10.3,560 Music Cntr,T,0
10.4,560 Music Cntr,T,0
10.5,560 Music Cntr,T,0
11.0,560 Music Cntr,T,0
11.1,560 Music Cntr,T,0
11.2,560 Music Cntr,T,0
11.3,560 Music Cntr,T,0
11.4,560 Music Cntr,T,0
11.5,560 Music Cntr,T,0
12.0,560 Music Cntr,T,0
12.1,560 Music Cntr,T,0
12.2,560 Music Cntr,T,0
12.3,560 Music Cntr,T,0
12.4,560 Music Cntr,T,0
12.5,560 Music Cntr,T,0
13.0,560 Music Cntr,T,0
13.1,560 Music Cntr,T,0
13.2,560 Music Cntr,T,0
13.3,560 Music Cntr,T,0
13.4,560 Music Cntr,T,0
13.5,560 Music Cntr,T,0
14.0,560 Music Cntr,T,0
14.1,560 Music Cntr,T,0
14.2,560 Music Cntr,T,0
14.3,560 Music Cntr,T,0
14.4,560 Music Cntr,T,0
14.5,560 Music Cntr,T,0
15.0,560 Music Cntr,T,0
15.1,560 Music Cntr,T,0
15.2,560 Music Cntr,T,0
15.3,560 Music Cntr,T,0
15.4,560 Music Cntr,T,0
15.5,560 Music Cntr,T,0
16.0,560 Music Cntr,T,0
16.1,560 Music Cntr,T,0
16.2,560 Music Cntr,T,0
16.3,560 Music Cntr,T,0
16.4,560 Music Cntr,T,0
16.5,560 Music Cntr,T,0
17.0,560 Music Cntr,T,0
17.1,560 Music Cntr,T,0
17.2,560 Music Cntr,T,0
17.3,560 Music Cntr,T,0
17.4,560 Music Cntr,T,0
17.5,560 Music Cntr,T,0
18.0,560 Music Cntr,T,0
18.1,560 Music Cntr,T,0
