1_value,2_value,3_value,4_value,5_value,EV,max_suit,win_rate
0,0,5,6,7,0.467433,3,0.33012
0,1,1,3,3,0.626663,2,0.6924
0,2,10,12,12,0.613541,3,0.8722
0,5,6,7,7,0.54535,2,0.775
0,1,9,10,11,0.366756,3,0.36776
0,0,3,8,9,0.447285,3,0.3808
0,7,8,9,11,0.433865,2,0.52432
0,6,7,11,12,0.374233,3,0.52664
0,0,6,9,11,0.453948,3,0.5004
0,4,5,6,10,0.336299,2,0.36404
0,0,1,2,9,0.451976,3,0.35012
0,1,5,7,11,0.336523,3,0.33356
0,2,3,6,10,0.349765,3,0.35736
0,3,3,4,4,0.634248,2,0.70052
0,1,5,7,11,0.337914,3,0.44304
0,6,7,10,12,0.379363,3,0.51988
0,6,9,10,10,0.576583,2,0.809
0,1,7,12,12,0.613357,3,0.86892
0,1,10,10,11,0.573059,2,0.84796
0,3,4,9,11,0.354513,3,0.41228
0,1,2,5,11,0.344077,3,0.4046
0,1,3,5,7,0.304429,2,0.23248
0,0,0,2,8,0.736713,2,0.30152
0,1,3,6,10,0.312826,2,0.3154
0,0,7,8,11,0.439751,2,0.49104
0,1,2,7,10,0.336812,3,0.3528
0,1,2,8,11,0.347364,3,0.29664
0,0,3,7,9,0.423515,2,0.33936
0,6,7,7,10,0.554186,3,0.79092
0,2,6,11,11,0.584644,2,0.80452
0,1,2,4,11,0.407626,3,0.4636
0,0,3,10,11,0.429038,2,0.49136
0,5,6,10,12,0.344449,2,0.477
0,1,4,10,11,0.349204,3,0.44544
0,2,6,9,11,0.346175,3,0.4534
0,5,7,10,10,0.585847,3,0.81516
0,3,7,8,8,0.559505,3,0.77588
0,1,8,8,12,0.553454,2,0.79824
0,1,6,9,12,0.341382,2,0.4932
0,2,8,11,11,0.688351,4,0.86952
0,1,3,5,12,0.402083,2,0.47892
0,1,4,5,9,0.321574,3,0.31544
0,1,5,7,8,0.307688,2,0.3114
0,5,6,6,9,0.538644,3,0.7532
0,1,2,3,12,0.767792,3,0.8816
0,1,3,4,8,0.371493,2,0.32788
0,1,1,4,7,0.440208,2,0.23828
0,2,4,6,11,0.329436,2,0.38736
0,2,3,10,10,0.580099,2,0.69456
0,4,9,9,10,0.559582,2,0.80868
0,0,2,4,9,0.447994,3,0.33892
0,5,9,10,11,0.378458,3,0.50444
0,2,2,7,9,0.456954,2,0.33248
0,0,4,9,10,0.428064,2,0.423
0,3,7,9,12,0.370482,3,0.51692
0,1,3,4,7,0.380874,2,0.3134
0,0,0,1,1,0.843298,2,0.59712
0,3,5,7,10,0.316587,2,0.35316
0,3,10,10,12,0.578363,2,0.83044
0,1,8,10,12,0.355922,2,0.5292
0,1,10,10,11,0.587124,3,0.84756
0,9,11,12,12,0.601596,2,0.87724
0,1,5,10,11,0.343789,3,0.46952
0,8,9,9,12,0.566856,2,0.80348
0,1,3,4,9,0.397403,3,0.38816
0,1,2,3,6,0.438446,2,0.38424
0,2,2,3,9,0.465723,2,0.33696
0,1,3,5,5,0.508525,2,0.649
0,0,6,7,8,0.450216,2,0.34816
0,3,4,7,8,0.335269,3,0.28512
0,1,5,5,9,0.502042,2,0.74688
0,3,4,4,7,0.495924,2,0.66636
0,2,8,9,11,0.343912,2,0.44296
0,7,11,11,12,0.586082,2,0.85352
0,0,1,2,12,0.505667,3,0.58712
0,1,6,6,8,0.532966,3,0.7582
0,3,8,10,12,0.540515,4,0.65836
0,4,6,8,12,0.347156,2,0.47416
0,1,3,10,12,0.410855,2,0.50456
0,0,1,7,8,0.419728,2,0.29636
0,5,5,8,10,0.524527,3,0.43
0,3,7,7,10,0.532856,2,0.75216
0,0,1,3,5,0.426656,2,0.20312
0,6,7,11,12,0.374233,3,0.52664
0,5,8,9,10,0.349321,2,0.40292
0,4,6,10,11,0.328442,2,0.41708
0,0,1,10,11,0.448558,3,0.51192
0,2,3,8,11,0.526622,4,0.60676
0,1,2,6,8,0.322254,3,0.26756
0,6,9,9,10,0.564504,2,0.83068
0,0,0,6,11,0.736946,2,0.51604
0,5,5,6,9,0.526801,3,0.374
0,3,9,11,11,0.584787,2,0.83924
0,8,9,9,12,0.566856,2,0.80208
0,1,5,9,12,0.360931,3,0.40324
0,0,0,6,6,0.846448,2,0.73848
0,0,2,4,5,0.429481,2,0.2032
0,1,4,6,7,0.311991,2,0.24464
0,2,7,8,11,0.354652,3,0.45872
0,6,6,7,12,0.521872,2,0.54092
0,3,4,6,7,0.413234,3,0.37336
0,4,8,9,9,0.558385,2,0.78364
0,5,6,9,11,0.337973,2,0.43584
0,9,11,12,12,0.601596,2,0.88008
0,7,8,9,12,0.376593,2,0.5242
0,5,7,8,11,0.380345,3,0.48332
0,3,4,8,9,0.307743,2,0.29792
0,1,8,8,12,0.553454,2,0.79824
0,2,6,6,8,0.516102,2,0.72004
0,1,8,9,12,0.37904,3,0.54772
0,1,9,10,11,0.366756,3,0.36776
0,2,7,8,9,0.331304,2,0.37148
0,1,2,6,10,0.512284,4,0.56828
0,3,5,8,12,0.365826,3,0.50324
0,5,5,8,10,0.524527,3,0.43
0,1,7,9,10,0.355163,3,0.42356
0,2,9,10,12,0.381375,3,0.41228
0,1,2,6,10,0.512284,4,0.56828
0,3,9,12,12,0.60081,2,0.84148
0,0,3,4,12,0.431174,2,0.52464
0,2,6,7,9,0.317938,2,0.32992
0,0,4,4,6,0.633374,2,0.66332
0,1,2,2,9,0.46433,2,0.6078
0,8,8,9,12,0.569483,3,0.60976
0,1,2,6,8,0.322254,3,0.26756
0,1,7,8,9,0.354538,3,0.40204
0,0,9,10,10,0.684573,2,0.84416
0,1,5,6,10,0.324786,3,0.38248
0,2,3,5,12,0.413036,2,0.48432
0,2,4,4,9,0.509803,3,0.67408
0,5,8,9,12,0.386478,3,0.55172
0,9,10,11,12,0.462908,3,0.61728
0,0,0,1,8,0.736688,2,0.29636
0,1,3,8,10,0.341309,3,0.34924
0,0,1,3,10,0.432719,2,0.38704
0,0,7,8,12,0.432648,2,0.54124
0,6,7,12,12,0.597055,2,0.8194
0,5,5,10,12,0.528516,3,0.60896
0,1,3,6,9,0.304445,2,0.26672
0,5,5,9,11,0.643704,4,0.66244
0,1,5,12,12,0.600644,2,0.87536
0,3,4,9,10,0.344221,3,0.38268
0,6,8,9,12,0.39756,3,0.54756
0,0,1,8,9,0.42203,2,0.35044
0,2,4,7,9,0.303281,2,0.28016
0,3,4,10,11,0.354973,3,0.42732
0,4,6,7,9,0.333162,2,0.34364
0,1,4,6,7,0.311991,2,0.24464
