time_day,Building,day_week,num_students
16.1,Jubel,T,0
16.2,Jubel,T,0
16.3,Jubel,T,0
16.4,Jubel,T,0
16.5,Jubel,T,0
17.0,Jubel,T,0
17.1,Jubel,T,0
17.2,Jubel,T,0
17.3,Jubel,T,47
17.4,Jubel,T,0
17.5,Jubel,T,0
18.0,Jubel,T,0
18.1,Jubel,T,0
18.2,Jubel,T,0
18.3,Jubel,T,0
18.4,Jubel,T,0
18.5,Jubel,T,0
19.0,Jubel,T,0
19.1,Jubel,T,0
19.2,Jubel,T,0
19.3,Jubel,T,0
19.4,Jubel,T,0
19.5,Jubel,T,0
20.0,Jubel,T,0
7.0,Jubel,W,0
7.1,Jubel,W,0
7.2,Jubel,W,0
7.3,Jubel,W,0
7.4,Jubel,W,0
7.5,Jubel,W,0
8.0,Jubel,W,0
8.1,Jubel,W,0
8.2,Jubel,W,0
8.3,Jubel,W,0
8.4,Jubel,W,0
8.5,Jubel,W,0
9.0,Jubel,W,0
9.1,Jubel,W,0
9.2,Jubel,W,0
9.3,Jubel,W,0
9.4,Jubel,W,0
9.5,Jubel,W,0
10.0,Jubel,W,54
10.1,Jubel,W,0
10.2,Jubel,W,0
10.3,Jubel,W,0
10.4,Jubel,W,0
10.5,Jubel,W,0
11.0,Jubel,W,0
11.1,Jubel,W,0
11.2,Jubel,W,0
11.3,Jubel,W,14
11.4,Jubel,W,0
11.5,Jubel,W,0
12.0,Jubel,W,50
12.1,Jubel,W,0
12.2,Jubel,W,0
12.3,Jubel,W,0
12.4,Jubel,W,0
12.5,Jubel,W,0
13.0,Jubel,W,51
13.1,Jubel,W,0
13.2,Jubel,W,0
13.3,Jubel,W,0
13.4,Jubel,W,0
13.5,Jubel,W,0
14.0,Jubel,W,0
14.1,Jubel,W,0
14.2,Jubel,W,0
14.3,Jubel,W,36
14.4,Jubel,W,0
14.5,Jubel,W,0
15.0,Jubel,W,43
15.1,Jubel,W,0
15.2,Jubel,W,0
15.3,Jubel,W,0
15.4,Jubel,W,0
15.5,Jubel,W,0
16.0,Jubel,W,25
16.1,Jubel,W,0
16.2,Jubel,W,0
16.3,Jubel,W,0
16.4,Jubel,W,0
16.5,Jubel,W,0
17.0,Jubel,W,25
17.1,Jubel,W,0
17.2,Jubel,W,0
17.3,Jubel,W,37
17.4,Jubel,W,0
17.5,Jubel,W,0
18.0,Jubel,W,0
18.1,Jubel,W,0
18.2,Jubel,W,0
18.3,Jubel,W,0
18.4,Jubel,W,0
18.5,Jubel,W,0
19.0,Jubel,W,0
19.1,Jubel,W,0
19.2,Jubel,W,0
19.3,Jubel,W,0
19.4,Jubel,W,0
19.5,Jubel,W,0
20.0,Jubel,W,0
7.0,Jubel,H,0
7.1,Jubel,H,0
7.2,Jubel,H,0
7.3,Jubel,H,0
7.4,Jubel,H,0
7.5,Jubel,H,0
8.0,Jubel,H,0
8.1,Jubel,H,0
8.2,Jubel,H,0
8.3,Jubel,H,0
8.4,Jubel,H,0
8.5,Jubel,H,0
9.0,Jubel,H,0
9.1,Jubel,H,0
9.2,Jubel,H,0
9.3,Jubel,H,0
9.4,Jubel,H,0
9.5,Jubel,H,0
10.0,Jubel,H,80
10.1,Jubel,H,0
10.2,Jubel,H,0
10.3,Jubel,H,0
10.4,Jubel,H,0
10.5,Jubel,H,0
11.0,Jubel,H,0
11.1,Jubel,H,0
11.2,Jubel,H,0
11.3,Jubel,H,51
11.4,Jubel,H,0
11.5,Jubel,H,0
12.0,Jubel,H,0
12.1,Jubel,H,0
12.2,Jubel,H,0
12.3,Jubel,H,8
12.4,Jubel,H,0
12.5,Jubel,H,0
13.0,Jubel,H,77
13.1,Jubel,H,0
13.2,Jubel,H,0
13.3,Jubel,H,0
13.4,Jubel,H,0
13.5,Jubel,H,0
14.0,Jubel,H,0
14.1,Jubel,H,0
14.2,Jubel,H,0
14.3,Jubel,H,54
14.4,Jubel,H,0
14.5,Jubel,H,0
15.0,Jubel,H,0
15.1,Jubel,H,0
15.2,Jubel,H,0
15.3,Jubel,H,0
15.4,Jubel,H,0
15.5,Jubel,H,0
16.0,Jubel,H,18
16.1,Jubel,H,0
16.2,Jubel,H,0
16.3,Jubel,H,0
16.4,Jubel,H,0
16.5,Jubel,H,0
17.0,Jubel,H,0
17.1,Jubel,H,0
17.2,Jubel,H,0
17.3,Jubel,H,47
17.4,Jubel,H,0
17.5,Jubel,H,0
18.0,Jubel,H,0
18.1,Jubel,H,0
18.2,Jubel,H,0
18.3,Jubel,H,0
18.4,Jubel,H,0
18.5,Jubel,H,0
19.0,Jubel,H,0
